Sha256,Cohort,PythonTensorSha256,CSharpTensorSha256,HashEqual,DifferentFloats,MeanAbsDelta,MaxAbsDelta
D86F134415A04E0606A287E30878EC7914E9DF74B3B4C92B1EF28FD94B366E94,DEVELOPMENT,925CA39F1A584A0CD263A51C176E17872C8230BFE19D6498677366ACD77118BB,D77CEC61EB86527FE9C55989FB5F5C75BDA59553545D9E07E1826A87742D9874,false,15,0.000002,0.017507
4CB36B9488EDCAA6B27FEF1B0A3524525E14E115CF2045F118B032995E653587,DEVELOPMENT,9D678FABA625B3C8CB48BF9DF071B3275E8FD0C2E0C97C96036C91FA63A5E652,490B1A58AE3A47EC90B7EF7223541CBD4EC412E85E9A46B1294361F2104E2D46,false,76,0.000009,0.017507
720D554E1CE7B5F36A27E8EB9E0C446EDD580DD15E0AAB7C46E8EB12BE170C51,DEVELOPMENT,4FE94852EDB8DA5E13719E9444C82B71DCC66355807D25C36132FF1658793304,6965AB0AF8CCE4DA5062D7DA1313D24BEF86B89DADEB63EA1E78EE9D0CD7B59B,false,58,0.000007,0.017507
83C37B5C6E92C9515F9456960E62208CEF94E5985871436E4E5464233C0EA6A0,DEVELOPMENT,45E03D7745D5A8E4CBFF92F8198DA62A8101349C54AEA3D151E139CFFF4715FF,3E877908660CB34C32296AA434EC2843DACFFC3273BAFAAEB1CBC595A26EC41D,false,53417,1.104034,4.464286
35784F288939B0D8F196CB8646314FE710549A870D08E33C8E974D21EABBA0D1,DEVELOPMENT,B36378759169AE81611FA667882534E0C93CC2A7567712610EDC729D8EE2325C,3CDC17FE605A290B8E926E06B47A2C8D0F02C5185306D66E6529DB7613201BB2,false,6,0.000001,0.017507
7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF,HOLDOUT,9752BF64219A841684241F2ACAB61BC95C6568CD04AC50E5201F316990AA850F,73A730DCBCBA7BED8C4A08E891F2768CE41A0528DB7E0CE19FEF8953796B248A,false,78,0.000009,0.017507
122412579CB7F775A638F44BF40EACB229C173965B54C8B8FBC969D28DA6F2DC,HOLDOUT,13BE7127842E473D8AE615A32FFB4387C5CF62DB7484F0FFC7F0ACC7047A3A64,6F61C415148731143E61F5DEA44FD201EE8E6041142DF499DC8687F6BCF04A3E,false,102846,2.742349,4.464286
8AE4509AEFA61A7ABB180BC7A0514AD169E1E8047C07D7544D3D0CB800B4E3FC,HOLDOUT,6E5C3C6E6987F29EEBA83CC0F4306F747C4E51F36A74817EF12BC66596A5BB4B,E0EC691B161427BFD34A0978A8E3BE8C4F9D88D3DA3AAAB53815FDC50ECA79D1,false,30,0.000003,0.017507
FA8700C24DBDFE130D17A72C536CC9DCF1639DD4A8C5E313DB18605F70DAEED5,HOLDOUT,922E409FE888189C8B6731B97A043B613B5124AC8AB00C99E13E85DD9A57B9FC,5D0BBF500A3E72B3BB3D35C1838F86394BB94210BFB0D429159C097E1153959E,false,9,0.000001,0.017507
0EF37A45898658CCA6C6E9A3A57946875F92E0AC0AF3C602DA2E9086380F6AE4,HOLDOUT,117B0EE2AA76BAB79E82580811755B228568DFF61AF638FB6D2B47F468BA15C1,1FA8A9D4F0895370C38941549767AA665BE7BF456F33863D8EEB8E35D0974B76,false,1,0,0.017429
15ED536B42D37302D1DD306E1E2F9C46AA07C069EC3DE614660DA7B6ECE627C0,HOLDOUT,8641A8AEB1B907C8D21A6D5691C91586922D19A0F7DBFA3F139DFDEC42D34447,3A937B94362FD466F0CFC5B2F8B08C87D9F4AABAC3A705B017D4E3A12DE44356,false,22230,0.063365,3.681822
B6524C56C8E4C7F199F98CE0E2EBE84BEC72DA783A9E5A1DA9FC17505080F44F,HOLDOUT,AAE3F458B7706B0D05B7E988B2CFB6860C2E38CCACA8759C89B5EDF280DC0796,08BDD9E0923114671738CCFB97524393044F4ADEDB9CAF82C2E2017861ACF16E,false,6,0.000001,0.017507
D9AFAF729E3D7965CE69B7DA7477640EFE7CB3725C7753E3C22305D06BF77C6B,HOLDOUT,BBD307D6838F1AF9E2467113839363EBD9A63382EFE64123B73AC48C982B7474,64E92FA4FB903DEB3B99B0C4EE781E134A03E58F272C48E7B2AFD2B79C128BDD,false,4,0,0.017507
2D246A2651752808442383D814C806437999B4C22FD2E77D18BEDAF2AC6786AB,HOLDOUT,2C417046E8780C68079ED9047AB66E60E0000B6E13868BB298BE6C913D8E85C6,9716F3608F93F9C81E78F1C6D53BE9632D956D373F2E17D7D6D9800BC2935712,false,11,0.000001,0.017507
31371F0EA09BFB13ECAECD39B9C36CF70E4662CB0E31F2ABE26B8E74402003F5,HOLDOUT,19A1AA7882BB94D124FEFFC5A4864A615A9EB2FBC62F07EEE7534A2397457828,415A911BC57242D9801CB904452B61A791A018D2E1B19EE170E7E5BD39D76C1A,false,27,0.000003,0.017507
