fold,id,group,source_label,family_max,payroll,bank
0,4CF4FCAB242089EAB32F977B4F3B3B28227D177A6D52A8BD5830CF1372B00F7D,F-FACD83D8B4281A05571A,FACTURA,7.515858577947796e-05,7.515858577947796e-05,1.738571356034956e-05
0,4E8F4CA3EA141FAB06A975375BF62091FFD9A0454831F126789FA50E5E950074,F-FACD83D8B4281A05571A,FACTURA,6.02869388306614e-05,6.02869388306614e-05,1.4584328083667873e-05
0,5243027656B07B38EBE681545510F2C1F2554AC2E01FE4CE22A9CB9602D8657F,F-FACD83D8B4281A05571A,FACTURA,7.477153651845192e-05,7.477153651845192e-05,1.798273387004568e-05
0,52E922C058F9D3030136B8C7C0BB684472A3233AB328DB8701C8122B129FE307,F-FACD83D8B4281A05571A,FACTURA,5.12228456290444e-05,5.12228456290444e-05,2.5305491392245067e-06
0,53CF129FB285C10306585C4D401463DB0CD045CD0DC8A0FF1B487FBBC4A1AFC5,F-FACD83D8B4281A05571A,OTRO_DOCUMENTO,0.0002490686859953326,0.0002490686859953326,3.685996933485483e-05
0,54E3FFE9C69EE3CFF94294F12A02B44CAB3EFD54DBDC8CB473F28E912E985C7D,F-FACD83D8B4281A05571A,FACTURA,5.928980451575997e-05,5.928980451575997e-05,3.7116558940384734e-06
0,55169D35B57E1980443FA22E94E71390FAF7180DF7A84AC7CDFE4E5EC917C2D2,F-FACD83D8B4281A05571A,FACTURA,2.1211181717735468e-05,2.1211181717735468e-05,4.274055563600594e-06
0,553735AC327B5AEBB6523999CF341A27EE0CD319E1E38D7543EDABFD5EF0476A,F-FACD83D8B4281A05571A,FACTURA,0.00012110546028045513,0.00012110546028045513,4.6754678430722455e-05
0,57216966143EA43A85549709469528CA0F2387F937AADF26600682E72558CEB0,F-FACD83D8B4281A05571A,FACTURA,5.9062453124019315e-05,5.9062453124019315e-05,1.9001074089459485e-05
0,57D9343D969BD1264FDEFF0D2A252ED028740EE39736F1A41A1D95C9B625C4AE,F-FACD83D8B4281A05571A,FACTURA,8.544482565393065e-05,8.544482565393065e-05,6.358565432197833e-06
0,5A11426D1D9F011286075EB4996D5698F9C3A9E2265A14EEA45E1EC9EA7EA8D4,F-FACD83D8B4281A05571A,FACTURA,7.061168289439853e-05,7.061168289439853e-05,1.1779522193900219e-05
0,5C989274617C576316FD86055671ECCB3D8B40D4A6D022A08CCB7BEDE037C32A,F-FACD83D8B4281A05571A,FACTURA,0.00018053840993790282,0.00018053840993790282,8.572315134485424e-06
0,5DBF71860ACD1EFE7170B783B09DF90415135A82C8C02BA29E1DDBDE98D4D92C,F-FACD83D8B4281A05571A,FACTURA,6.392972070845695e-05,6.392972070845695e-05,1.595972492099139e-05
0,5F1C7E2F701520CDB3290752AC7E87FEA8278A7452B488B35E0FE82B539D1D0E,F-FACD83D8B4281A05571A,FACTURA,9.140645606527163e-05,9.140645606527163e-05,5.047004506851847e-06
0,5FB7BD28D27616E8676E0229F610930D8EB1C05062288C9843B6A07025902965,F-FACD83D8B4281A05571A,FACTURA,3.5776161739922316e-05,3.5776161739922316e-05,7.570243071734116e-06
0,5FF603BFE35FFE846FE61CC7D6E257DAFA04176A27BDDA23DB954E289083BDA7,F-FACD83D8B4281A05571A,FACTURA,7.328367880082587e-05,7.328367880082587e-05,1.117566957041835e-05
0,63F5F3AB045C5B5F66EA108111298A47D3D35401D9F776570A886AC745108D3F,F-FACD83D8B4281A05571A,OTRO_DOCUMENTO,5.5953075473780936e-05,5.5953075473780936e-05,4.803658436793585e-05
0,6403BB9E343E7ADC6832D9FEF0B238A5C7629934B729B49930D5EB612D45A237,F-FACD83D8B4281A05571A,OTRO_DOCUMENTO,5.4969676651477046e-05,5.4969676651477046e-05,4.029553546142109e-06
