FamilyId,Fold,Documents,Factura,OtroDocumento,HeaderErrors,TextErrors,FacturaToOtroDocumento,OtroDocumentoToFactura,HeaderErrorSha256
F-8E51FF106E6F3ECF3F13,1,1,1,0,0,0,0,0,
F-8FB0C271F20EAB3092AA,3,6,6,0,0,0,0,0,
F-9525E35FAA9C79DDFE79,0,1,1,0,0,0,0,0,
F-976EEED6E8682B3EC86C,2,1,1,0,0,0,0,0,
F-9A735258044E0AA042F4,0,1,1,0,0,0,0,0,
F-9CDD0F79654F6C629C58,3,1,1,0,0,0,0,0,
F-A1CDEA5EA1B02B4F87C8,2,1,1,0,0,0,0,0,
F-A4599E2724A776EE31BB,0,1,1,0,0,0,0,0,
F-A63645627CE2D9A75BE5,3,3,3,0,0,0,0,0,
F-A69FDECE53AB69CF1845,2,8,8,0,0,0,0,0,
F-A6E816EB9E43FECB1ACB,2,1,1,0,0,0,0,0,
F-A75A0A5D32BC3BDDC3FF,1,1,1,0,0,0,0,0,
F-A89FDE7F361720CE396D,0,1,1,0,0,0,0,0,
F-A8BC10D011EB3739972C,2,3,3,0,0,0,0,0,
F-A92847205E3BBB99A982,0,1,1,0,0,0,0,0,
F-A9B670855B09AE1DC9A7,0,1,1,0,0,0,0,0,
F-AB9C3DF0812F557CBA1C,2,1,1,0,0,0,0,0,
F-B0CE428E3A93F67A9A41,2,1,1,0,0,0,0,0,
F-B48A5E97973412D090E1,3,1,1,0,0,0,0,0,
F-B7F49B6DC4F0173C4F2C,1,1,1,0,0,0,0,0,
F-BB3946FCA5C1D8EE3510,3,1,1,0,0,0,0,0,
F-BBFA348893E65DB88B69,1,1,1,0,0,0,0,0,
F-BD443D8161F24BFCB109,3,3,3,0,0,0,0,0,
F-BE2A732EDC4F7479054E,0,1,0,1,0,0,0,0,
F-BF67793A8E4CE989ED42,0,1,1,0,0,0,0,0,
F-C04B37B1724168DE2084,3,5,5,0,0,0,0,0,
F-C0D5A81F1B3DB1BB1203,0,1,1,0,0,0,0,0,
F-CD94A06EDDC7590F7145,2,2,2,0,0,0,0,0,
F-CEDA51D85B3AA52E945D,1,1,1,0,0,0,0,0,
F-D1F6DC156677842D2070,2,1,1,0,0,0,0,0,
F-D86CE4CD0C9D0468E43A,3,1,1,0,0,0,0,0,
F-D8C324C174874BEB5368,0,1,1,0,0,0,0,0,
F-D8FCDE61FE47CC36A198,2,1,1,0,0,0,0,0,
F-D9558DFA49CDFA0EC574,1,1,1,0,0,0,0,0,
F-DA3D3ACC13A5AA5E9C71,3,1,1,0,0,0,0,0,
F-DC0A2053B5A530D4C5EF,3,4,4,0,0,0,0,0,
F-DDD398632A8E3710DDB0,3,1,1,0,0,0,0,0,
F-E2627E96B98E9A6575D4,1,1,1,0,0,0,0,0,
F-E68CDBA32F276D126C50,2,1,1,0,0,0,0,0,
F-E70110F2096258660969,0,1,1,0,0,0,0,0,
F-EDBFE59229E8571451DD,2,5,5,0,0,0,0,0,
F-EE6C10CFFB7B6C49E434,0,1,0,1,0,0,0,0,
F-EF073838ABE6523C2174,0,1,1,0,0,0,0,0,
F-EFBDDAECA8EF315C1DDB,3,1,1,0,0,0,0,0,
F-F06BCF4B9729282FE5A1,2,1,1,0,0,0,0,0,
F-F2B443493003CF983276,3,1,1,0,0,0,0,0,
F-F87B430E01864ABA8385,0,1,1,0,0,0,0,0,
F-F9F97E5234AB53CA8EDD,2,2,2,0,0,0,0,0,
F-FC0763B62EEE2F9FCCE8,2,3,3,0,0,0,0,0,
F-FC4D9BFCF265DB5A7DB7,1,1,1,0,0,0,0,0,
F-FF1E9D9D737E473FAE94,0,1,1,0,0,0,0,0,
