ShaA,ShaB,Reason
6BC211BC3F456C4F62C7F39BE39CE115108F377BC270C8D0CBD9CB0A400092D5,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
6BFDFBC8F84DCCC678A6F5118976176B5B84582CBABD37F00BD6C91D76A40808,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
6C0C0168466808E4AC06DB82A0B76C9CD174B885CA55AE69BC62B8E933F7EC08,45F5B247A5364DD64478D657C6C312B930AFC35DA0F4A3692FCA89ABFF12D923,HEADER_CUIT:30708776609
6C60860296C94E2ACB69838ECB62B7DEE7CD4A9C0357E689FC6DF7E2F4D840B5,072B001D7FDCB00B166EE67FDDEE8BE382F3BA7FB76113DE6F258CAC2DEDFF3E,HEADER_CUIT:30669701639
6C79E0E2058FEF7C79319CFEA9E7EE71EB6749E51F4FDF2973C31908BEF981F5,186ECE220815305724D8DA06F9EACF61CFB5C4D8E64DBA98AB1342E0710C0AF1,HEADER_CUIT:30708188472
6EEA7E897C4E25A920F0C41390989C0343BF831207E63B4FDB49DC94EE11687A,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
6F131DD0EAF52BBEA47DE4FD62FBEBA9C8D82B1DE26FE5B258A15717FE214DB4,225886580C85D6E9291E33F31E663C265C372BE9B6DFF5D4C18D41160FBBE122,HEADER_CUIT:30696850972
701E96AB1D777313D11116902E69CDB65C6D1B7CCC90CE2D7A2F83A22AB166A9,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
70B4CD9A1264D42D8290410E17519C058F7DF514C05BF5725C9F7441BB00E27D,604E2F0DE59B3E53C81E10C19EF41919C706C5162FDA1CA3D8C91427244E5B7D,HEADER_CUIT:30717404811
70D93374DC5BE743CA638BB0B09EB9765F8BAF882B539E0C8B1882F69EA2D180,194F2DA87B4471D4F618FDAFBE7C074F5DB1BC27D67350BC9E865BDBEDECF437,HEADER_CUIT:33712026559
7283909A30C86B8131301F460285F46B33BBAAC2D3CB556104D366BE677DE138,04622502B384DAAEF8528EC21E2AB0A275228BE920F7620586EB7594F8385E50,HEADER_CUIT:30685843400
729A1203860525891D21A701B07FC575EBA4638867490110DF195EBDD3E24834,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
72D4B9B1041555B196030613602AB200641E03F669E2F7A68004A6F30A0026C9,072B001D7FDCB00B166EE67FDDEE8BE382F3BA7FB76113DE6F258CAC2DEDFF3E,HEADER_CUIT:30669701639
7450CD3EC72F3F9A0F1009EF270B10F283D7B56BE50BAAC01800EA9CF2C9E36B,106447D8042022E7A7E537E2F456DA614B64B7F191C70E08B6E6C5335ED5C164,HEADER_CUIT:30546969874
750B2F485A400D74B7BD2A709DFDAF8C1C8B3A9108B1402DE0CBB48E40BEEB96,05C97349F397582E8A6249A2D5709AD4923C3B38A7E21B050DE3374402BA58A1,HEADER_CUIT:33699685459
75311A6D3AB7F6E86672C3EC7334673FFC77C9D949ECE67E55E38DFE7685242D,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
754EE6E12E8F8F2901DAE135E15FF3D5ABF245CA5D195BB6F95149FE4EA034C8,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
7665E4053FAEAC461DD7C5DD5BCF9F87E0FD310718AD6F36BCD084A7244397EC,49877C939058E0CCF767C71D8946B7FCC3FB9479A1D831926B45806AA43E9F4B,HEADER_CUIT:30502648302
7765957EC5D2FAD2C870AA576B360E8C599D1A09C2161E5A60675B0C299E82FF,194F2DA87B4471D4F618FDAFBE7C074F5DB1BC27D67350BC9E865BDBEDECF437,HEADER_CUIT:33712026559
784F9D9BD68F96A9846EBDC73B1696064770C69B575188710425213F05201DC0,05C97349F397582E8A6249A2D5709AD4923C3B38A7E21B050DE3374402BA58A1,HEADER_CUIT:33699685459
79ADF4E464CD5BF264A498AF625E2970E5CC8C04C0328A0860C11350DB57FBE3,31DE1A416B6D580B5D1165E5D6C5C466715632F4D72D78BC2E8810AB73DE5B28,HEADER_CUIT:30598910045
79D72B16CC2B5501799E933CF4EE6BC2E55AA6B0FA2908E8EA10127B43C3F3E7,05C97349F397582E8A6249A2D5709AD4923C3B38A7E21B050DE3374402BA58A1,HEADER_CUIT:33699685459
7A6B56B879EB82E96964292110FC30DAF7A117007D35FA16FC9BDF39CCF431A4,34EA03414CBB06206D7244C5291C0498F00B9631B15ED002F203E973BDFD8A2C,HEADER_CUIT:30610298601
7AB8D2AB7B5229FA6F6AFB5F7329F783BD003B13322FB478B6176610993FCC87,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
7AC1C9AC52EB6F71A1818DD3EFD8652BD707373F5044E68001CB9D34E4DBCD61,2177FA907AE027A8214549A497D8B20FAC11F03378434E82243735B41CDCCF90,HEADER_CUIT:30707503307
7B719EB0767D781E74AAB6EFB62BA480BFEF3682904B68947E5F6415AFE1EE44,123AAD179BE2ED44C1896B2F0972BA3A001D1258B084B8A1FE069BC1ACB1FF14,HEADER_CUIT:30708593512
7C9BBDA23EDEB3A0E8084A1817DC926D7DBC841380E79E281F299282806E530C,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
7D71C224D23E5E0E8FD05C6303A4B986D06341EE722D4E62939389806BBE3471,09BA9B13C67BBB69B0C9194C5E68E80D92DE3F0D572EEB90223E1DFDA26B67E7,HEADER_CUIT:30516385460
7D7462CE30AA30D68CF67E839C4773AF8CBE77EFB76BAC999469CA458FB25597,332FFB1D90DB17A2646977121AD6D87B112993E79461108025126C4935CE72B7,HEADER_CUIT:30708286431
7DB28C1CAEF678FB79B4D943F74C412E0324E467A85C015D65AD2D45783D057A,19CA2317F157D7F77CBA71C4C7DADA16BA98EB297488E5B8E29356E5C706F58E,HEADER_CUIT:30678814357
